"goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","MTurkCode"
"Wear a mask and social distance","Do not relapse due to sisters recent death","","","",58879
"I want to lose 15 pounds","I want to buy a camper","","","",55276
"Write 1,000 words of my novel every day.","Eat three servings of vegetables every day.","Complete first novel by the end of the year.","Purchase house within the next two years.","",82757
"To get a legal divorce from my spouse.","To move to a new state","To be financially independent","To have both my son's and I live close by each other.","",55737
"I am trying to lose 70 pounds.","I am actively pursuing a higher paying job.","","","",64880
"I have to keep giving to see this nature","","","","",61629
"Financial Stability","","","","",36001
"To make enough money in the next 12 month to pay our mortgage.","To find a higher paying job so that we do not have to sell the house and move.","","","",29048
"to wake up early every morning","","","","",14508
"I want to complete making a video for a non-profit and improve on my video-making abilities.","I want to get my wedding planned and ready to go. ","I want to exercise at least five times a week.","","",28389
"To run 25 miles or more every week.","To earn $500 on top of my salary every month (to save for our newborn's college)","","","",49552
"Hardwork","Effect","Daily earn","Honest","Sincere",11385
"MY goal is to build a house within 5 years.","My goal is to retire by age 60.","My goal is to find a new high paying job.","My goal is to find someone to marry and have kids with","my goal is to win a million dollars",86456
"My current goal is to completely pay off my house, which will mean I will have paid off all the outstanding debt that I have at all.","","","","",74703
"Make a lot of money so I can buy a new car without hurting my accounts","Exercise more often so I can be sure I'm in tip top health","","","",69116
"My goal is to write a book.","My goal is to write at least one note every day.","My goal is to eat healthier.","","",33482
"lose 10 pounds","sleep earlier","","","",56341
"I think i have to go to the highest place in life","","","","",88609
"Start a Gratitude Journal","Create a Life Plan","Start a Creative Hobby","Be Kind Daily","Seek Personal Growt",70442
"To save up and buy a house within the next two years","to get back into my old gym routine","","","",30147
"My first goal is to pay off my credit card debt.","My second goal is to workout every day.","My third goal is to lose 5 pounds and maintain that weight.","","",37191
"Pay off credit card","Save for retirement","Find a good foundation shade","","",89676
"One goal is to buy a house. Homes have been very expensive in my area and I've been saving up for years to finally buy one","I'm also looking to control my eating habits. I have a bad habit of binge-eating and I eat until it hurts. I want to learn to be more mindful of my eating","My final goal is to go back and get my Master's degree. I've always wanted to obtain this and I want to do it right.","","",95128
"I want to retire in three years.","I want to pay off my credit card debt by the end of next year.","","","",70506
"Getting a better sustainable job","Working on a source of passive income","Becoming a healthier person through better eating and exercise","","",11946
"my goal is to learn how to swim by end of ear","my goal is to increase savings for  possible early requirement","","","",14844
"I want to lose 30 pounds and reach my goal weight of 130.","I want to jog at least 3 times a week, finishing the couch to 5K program I'm doing.","I want my husband and I to save $10,000 and put it in our savings account.","","",80323
